Info 0    [17:52:32.037] Starting TS Server
Info 1    [17:52:32.037] Version: 4.5.4
Info 2    [17:52:32.037] Arguments: /usr/local/bin/node /usr/local/lib/node_modules/typescript/lib/tsserver.js --logFile /home/kitamura/work/Learning/Tutorials/emacs_deno/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/7e74931426dbdf7c9d42393c2510b57e/tscancellation*
Info 3    [17:52:32.037] Platform: linux NodeVersion: 16 CaseSensitive: true
Info 4    [17:52:32.037] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [17:52:32.048] Format host information updated
Info 6    [17:52:32.053] Search path: /home/kitamura/work/Learning/Tutorials/emacs_deno
Info 7    [17:52:32.054] For info: /home/kitamura/work/Learning/Tutorials/emacs_deno/filewatching.ts :: No config files found.
Info 8    [17:52:32.056] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [17:52:32.454] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 397.6545539498329ms
Info 10   [17:52:32.454] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [17:52:32.454] 	Files (19)

Info 12   [17:52:32.454] -----------------------------------------------
Info 13   [17:52:32.994] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [17:52:33.002] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 7.676556944847107ms
Info 15   [17:52:33.002] Different program with same set of files
Info 16   [17:52:33.008] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 17   [17:52:33.010] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 2.1535410284996033ms
Info 18   [17:52:33.010] Different program with same set of files
Info 19   [17:53:20.252] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [17:53:20.256] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 4.4960649609565735ms
Info 21   [17:53:20.256] Different program with same set of files
Info 22   [17:53:20.258] getCompletionData: Get current token: 0.10109502077102661
